ProductID,ProductName,CategoryID,Price,StockQuantity,Description,SupplierID
1,Widget A,Electronics,49.99,100,High-quality widget for all your needs,1
2,Widget B,Electronics,39.99,75,Affordable widget for everyday use,2
3,Widget C,Home & Garden,29.99,50,Durable widget for outdoor use,1
4,Widget D,Electronics,59.99,120,Widget with advanced features,3
5,Widget E,Home & Garden,19.99,90,Basic widget for various tasks,2
6,Widget F,Electronics,34.99,60,Economical widget for tech enthusiasts,1
7,Widget G,Electronics,79.99,110,Smart widget with IoT integration,4
8,Widget H,Home & Garden,42.99,70,Compact widget for small spaces,2
9,Widget I,Electronics,64.99,95,Widget with cutting-edge technology,1
10,Widget J,Clothing,24.99,150,Fashionable widget for any occasion,5
11,Widget K,Toys,14.99,80,Interactive widget for kids,6
12,Widget L,Books,12.99,200,Informative widget-related book,7
13,Widget M,Electronics,89.99,60,Advanced widget for professionals,3
14,Widget N,Electronics,74.99,80,High-performance widget,4
15,Widget O,Home & Garden,32.99,110,Widget for home improvement,2
16,Widget P,Toys,19.99,95,Fun widget for playtime,6
17,Widget Q,Electronics,49.99,70,Widget with wireless capabilities,1
18,Widget R,Electronics,99.99,120,Premium widget for enthusiasts,4
19,Widget S,Clothing,29.99,150,Widget-themed t-shirt,5
20,Widget T,Books,16.99,200,Widget history book,7
21,Widget U,Home & Garden,37.99,90,Versatile widget for various tasks,2
22,Widget V,Toys,22.99,80,Educational widget for kids,6
23,Widget W,Electronics,54.99,100,Energy-efficient widget,3
24,Widget X,Electronics,69.99,130,Widget with voice control,4
25,Widget Y,Electronics,59.99,110,Compact widget for travel,1
26,Widget Z,Clothing,39.99,90,Stylish widget-themed hoodie,5
27,Widget AA,Books,14.99,150,Widget user guide,7
28,Widget BB,Electronics,79.99,70,Widget with AI integration,4
29,Widget CC,Electronics,49.99,80,Entry-level widget,1
30,Widget DD,Home & Garden,29.99,100,Economical widget for gardening,2
31,Widget EE,Electronics,119.99,130,Widget with 4K display,3
32,Widget FF,Electronics,94.99,110,Widget for entertainment,4
33,Widget GG,Toys,18.99,80,Colorful widget for kids,6
34,Widget HH,Electronics,79.99,70,Widget with voice recognition,1
35,Widget II,Home & Garden,44.99,90,Widget for DIY projects,2
36,Widget JJ,Electronics,64.99,100,Smart widget with app control,3
37,Widget KK,Electronics,149.99,120,High-end widget for professionals,4
38,Widget LL,Clothing,34.99,150,Widget-themed socks,5
