SupplierID,SupplierName,SupplierAddress,SupplierEmail,ProductID,CategoryID,OrderID
1,ABC Electronics,123 Main St,abc@example.com,1,1,1
2,XYZ Components,456 Oak Ave,xyz@example.com,2,2,2
3,Global Gadgets,789 Elm Rd,global@example.com,3,1,3
4,Superior Supplies,321 Pine Lane,superior@example.com,4,2,4
5,Quality Parts,654 Cedar Dr,quality@example.com,5,1,5
6,Reliable Tech,987 Birch Blvd,reliable@example.com,6,2,6
7,Swift Devices,210 Maple Court,swift@example.com,7,1,7
8,Innovate Inc.,543 Willow Way,innovate@example.com,8,2,8
9,Prime Electronics,876 Spruce Circle,prime@example.com,9,1,9
10,Top Tech Ltd.,109 Fir Road,top@example.com,10,2,10
11,ABC Electronics,123 Main St,abc@example.com,11,1,11
12,XYZ Components,456 Oak Ave,xyz@example.com,12,2,12
13,Global Gadgets,789 Elm Rd,global@example.com,13,1,13
14,Superior Supplies,321 Pine Lane,superior@example.com,14,2,14
15,Quality Parts,654 Cedar Dr,quality@example.com,15,1,15
16,Reliable Tech,987 Birch Blvd,reliable@example.com,16,2,16
17,Swift Devices,210 Maple Court,swift@example.com,17,1,17
18,Innovate Inc.,543 Willow Way,innovate@example.com,18,2,18
19,Prime Electronics,876 Spruce Circle,prime@example.com,19,1,19
20,Top Tech Ltd.,109 Fir Road,top@example.com,20,2,20
21,ABC Electronics,123 Main St,abc@example.com,21,1,21
22,XYZ Components,456 Oak Ave,xyz@example.com,22,2,22
23,Global Gadgets,789 Elm Rd,global@example.com,23,1,23
24,Superior Supplies,321 Pine Lane,superior@example.com,24,2,24
25,Quality Parts,654 Cedar Dr,quality@example.com,25,1,25
26,Reliable Tech,987 Birch Blvd,reliable@example.com,26,2,26
27,Swift Devices,210 Maple Court,swift@example.com,27,1,27
28,Innovate Inc.,543 Willow Way,innovate@example.com,28,2,28
29,Prime Electronics,876 Spruce Circle,prime@example.com,29,1,29
30,Top Tech Ltd.,109 Fir Road,top@example.com,30,2,30
31,ABC Electronics,123 Main St,abc@example.com,31,1,31
32,XYZ Components,456 Oak Ave,xyz@example.com,32,2,32
33,Global Gadgets,789 Elm Rd,global@example.com,33,1,33
34,Superior Supplies,321 Pine Lane,superior@example.com,34,2,34
35,Quality Parts,654 Cedar Dr,quality@example.com,35,1,35
36,Reliable Tech,987 Birch Blvd,reliable@example.com,36,2,36
37,Swift Devices,210 Maple Court,swift@example.com,37,1,37
38,Innovate Inc.,543 Willow Way,innovate@example.com,38,2,38
39,Prime Electronics,876 Spruce Circle,prime@example.com,39,1,39
40,Top Tech Ltd.,109 Fir Road,top@example.com,40,2,40
41,ABC Electronics,123 Main St,abc@example.com,41,1,41
42,XYZ Components,456 Oak Ave,xyz@example.com,42,2,42
43,Global Gadgets,789 Elm Rd,global@example.com,43,1,43
44,Superior Supplies,321 Pine Lane,superior@example.com,44,2,44
45,Quality Parts,654 Cedar Dr,quality@example.com,45,1,45
46,Reliable Tech,987 Birch Blvd,reliable@example.com,46,2,46
47,Swift Devices,210 Maple Court,swift@example.com,47,1,47
48,Innovate Inc.,543 Willow Way,innovate@example.com,48,2,48
49,Prime Electronics,876 Spruce Circle,prime@example.com,49,1,49
50,Top Tech Ltd.,109 Fir Road,top@example.com,50,2,50
